Mon Dec  6 14:24:05 2021    output_profiling/output_hebbian.dat

         652932 function calls (652916 primitive calls) in 2.899 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   108794    0.417    0.000    0.417    0.000 {built-in method numpy.array}
    81614    0.025    0.000    0.049    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/_asarray.py:23(asarray)
81594/81579    0.140    0.000    1.433    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    27189    0.092    0.000    0.092    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    27174    0.005    0.000    0.005    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/multiarray.py:716(dot)
    27174    0.021    0.000    0.135    0.000 <__array_function__ internals>:2(dot)
    27173    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
    27173    0.014    0.000    0.117    0.000 {method 'all' of 'numpy.ndarray' objects}
    27173    0.011    0.000    0.103    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/_methods.py:59(_all)
    27172    0.166    0.000    0.166    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
    27171    0.113    0.000    0.851    0.000 /Users/macpro/BIO-210-team-28/scripts/algorithms.py:217(update_async)
    27171    0.005    0.000    0.005    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/numeric.py:2388(_array_equal_dispatcher)
    27171    0.145    0.000    0.311    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/numeric.py:2392(array_equal)
    27171    0.019    0.000    0.350    0.000 <__array_function__ internals>:2(array_equal)
    27171    0.005    0.000    0.005    0.000 /usr/local/lib/python3.9/site-packages/numpy/lib/function_base.py:711(_copy_dispatcher)
    27171    0.011    0.000    0.404    0.000 /usr/local/lib/python3.9/site-packages/numpy/lib/function_base.py:715(copy)
    27171    0.021    0.000    0.445    0.000 <__array_function__ internals>:2(copy)
      100    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       50    0.000    0.000    0.000    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/numeric.py:853(_outer_dispatcher)
       50    0.576    0.012    0.576    0.012 /usr/local/lib/python3.9/site-packages/numpy/core/numeric.py:857(outer)
       50    0.000    0.000    0.577    0.012 <__array_function__ internals>:2(outer)
       17    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
